"Serial","ID","Asset Number"
"JJPGKMQDLP","SC1006","จักราชวิทยา_SC1006"
"M1Y5XW2J1H","SC559","จักราชวิทยา_SC559"
"L2TVTF6109","SC449","จักราชวิทยา_SC449"
"J27L403VKP","SC921","จักราชวิทยา_SC921"
"LLQ4K4D6QW","SC73","จักราชวิทยา_SC73"
"ML729N16QK","SC162","จักราชวิทยา_SC162"
"D1W6PF0GN0","SC181","จักราชวิทยา_SC181"
"MXJC43HY5R","SC501","จักราชวิทยา_SC501"
"D9TYF325WR","SC315","จักราชวิทยา_SC315"
"KGKY60YF4V","TC93","จักราชวิทยา_TC93"
"KD2R6MG72V","SC583","จักราชวิทยา_SC583"
"H6XLGYXDLQ","SC547","จักราชวิทยา_SC547"
"GYL30JWXCP","SC708","จักราชวิทยา_SC708"
"GFNY9XK40N","SC1046","จักราชวิทยา_SC1046"
"KXN3642VYJ","SC802","จักราชวิทยา_SC802"
"DCQLW04TYX","SC958","จักราชวิทยา_SC958"
"KJ7H029D20","SC995","จักราชวิทยา_SC995"
"LKXX5X6Q2V","SC551","จักราชวิทยา_SC551"
"GHXT7P9C66","SC589","จักราชวิทยา_SC589"
"K912H6QDH4","SC354","จักราชวิทยา_SC354"
"DWPKT00W4K","SC582","จักราชวิทยา_SC582"
"FY2FG3XYM3","SC194","จักราชวิทยา_SC194"
"H4CHY29R7J","TC57","จักราชวิทยา_TC57"
"C2Q3L4XG26","SC388","จักราชวิทยา_SC388"
"JT79NJVM59","SC363","จักราชวิทยา_SC363"
"F6P39JP79N","SC1019","จักราชวิทยา_SC1019"
"KGPDYPVVR2","SC400","จักราชวิทยา_SC400"
"H1G2DQKKWD","SC297","จักราชวิทยา_SC297"
"JP6Q94JMWG","SC316","จักราชวิทยา_SC316"
"C39XCKXV73","SC1024","จักราชวิทยา_SC1024"
"HW3CJ4T7MP","SC1008","จักราชวิทยา_SC1008"
"H0WKW0TH0Q","SC43","จักราชวิทยา_SC43"
"GRQQVYF4Y4","SC773","จักราชวิทยา_SC773"
"J2X34M4LF4","SC291","จักราชวิทยา_SC291"
"H0GWJD6XFL","SC403","จักราชวิทยา_SC403"
"HT9Y73YVXH","SC458","จักราชวิทยา_SC458"
"LPFDFP6TWV","SC1057","จักราชวิทยา_SC1057"
"D7CYNY9FP9","SC661","จักราชวิทยา_SC661"
"JY27T5QV6M","SC651","จักราชวิทยา_SC651"
"DQYQ09H4V2","SC350","จักราชวิทยา_SC350"
"M1V6J27WL6","SC101","จักราชวิทยา_SC101"
"HXW3JQRX3Y","SC146","จักราชวิทยา_SC146"
"MWCN46H323","SC147","จักราชวิทยา_SC147"
"F7HQRLHH27","SC69","จักราชวิทยา_SC69"
